scenario_name,scenario_label,info_set_name,info_set_label,policy_name,policy_label,coordinate_name,coordinate_pass,standardized_signals,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rho_i,feature_names,weight_observed_pi,weight_lagged_observed_pi,weight_observed_output_gap,weight_lagged_observed_output_gap,weight_mean_rstar_gap,weight_mean_productivity_gap,weight_mean_fiscal_gap,weight_mean_inflation_gap,weight_mean_output_gap,weight_stress_probability,weight_stress_entropy,weight_filtered_variance_trace,weight_mean_low_liquidity_gap,weight_mean_mean_mpc_gap
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,rho_i,2,0,0.0005185128620361623,0.0,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,rho_i,2,0,0.0005185128620361623,0.0,0,0.85,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,2,0,0.0005431435135495065,0.00015281157888533117,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,2,0,0.0005724659095188856,0.00015980843567489758,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,2,0,0.0006098565911442771,0.00034111360463280735,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,1,0,0.0006456127122878455,0.0003638822446124936,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,2,0,0.0006456127122878455,0.0003638822446124936,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,2,0,0.0006769306686571753,0.0003715628513278325,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,1,0,0.000758838560727508,0.00040020920849382166,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,2,0,0.000758838560727508,0.00040020920849382166,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
